filename,text
00000.wav,964-69-44
00001.wav,41-5
00002.wav,547
00003.wav,4481-1180
00004.wav,83-72
00005.wav,0
00006.wav,4902-3034
00007.wav,84
00008.wav,343
00009.wav,17
00010.wav,175-15-06
00011.wav,57-0802
00012.wav,096977
00013.wav,94-0814
00014.wav,06
00015.wav,8
00016.wav,0
00017.wav,701767
00018.wav,01-44268
00019.wav,732-67-69
00020.wav,6227
00021.wav,942
00022.wav,819
00023.wav,2
00024.wav,195118
00025.wav,9
00026.wav,41
00027.wav,71270
00028.wav,146
00029.wav,02-97
00030.wav,236636
00031.wav,061
00032.wav,40
00033.wav,8-5380
00034.wav,
00035.wav,6-140
00036.wav,18
00037.wav,92
00038.wav,724806
00039.wav,6
00040.wav,4293
00041.wav,417-1
00042.wav,34
00043.wav,00
00044.wav,775
00045.wav,595-793
00046.wav,608
00047.wav,4658937-1
00048.wav,54542
00049.wav,0
00050.wav,50
00051.wav,991
00052.wav,6461
00053.wav,00-0
00054.wav,29
00055.wav,0
00056.wav,00
00057.wav,66-10-9
00058.wav,0714
00059.wav,60
00060.wav,95-74685-7
00061.wav,79443-19
00062.wav,41444264
00063.wav,4172
00064.wav,58043175849-28
00065.wav,97235-017
00066.wav,1336737
00067.wav,008-920-092082
00068.wav,644-024
00069.wav,8567
00070.wav,80-40
00071.wav,40
00072.wav,82738267916-0493-974
00073.wav,55-18
00074.wav,28-839
00075.wav,3
00076.wav,0
00077.wav,0791
00078.wav,0
00079.wav,464-7860
00080.wav,31249464
00081.wav,397466-47
00082.wav,3375
00083.wav,27204
00084.wav,04
00085.wav,610-10
00086.wav,75
00087.wav,8164
00088.wav,459-6
00089.wav,4606
00090.wav,40-
00091.wav,18
00092.wav,3078-2317
00093.wav,7533
00094.wav,5328
00095.wav,040-53464-9
00096.wav,172-24
00097.wav,8
00098.wav,6751681
00099.wav,958-4
00100.wav,26-5
00101.wav,8731
00102.wav,582353442
00103.wav,953-35
00104.wav,651
00105.wav,34-610
00106.wav,120197-452
00107.wav,344
00108.wav,96-1
00109.wav,20
00110.wav,259-33993
00111.wav,0
00112.wav,485
00113.wav,04-11-55
00114.wav,3450
00115.wav,325
00116.wav,2503
00117.wav,466-035
00118.wav,762
00119.wav,2
00120.wav,95-50908
00121.wav,38489
00122.wav,86983433632
00123.wav,92254
00124.wav,7440
00125.wav,252520
00126.wav,283
00127.wav,79-19
00128.wav,156
00129.wav,592667
00130.wav,880-1265
00131.wav,75615
00132.wav,460
00133.wav,4438
00134.wav,0
00135.wav,56
00136.wav,1426
00137.wav,81
00138.wav,13809177
00139.wav,67-2
00140.wav,521
00141.wav,99
00142.wav,16
00143.wav,01
00144.wav,1-00
00145.wav,5
00146.wav,695-61
00147.wav,6
00148.wav,711-32-166
00149.wav,1332
00150.wav,09
00151.wav,974835-
00152.wav,641133750
00153.wav,6310--0
00154.wav,05
00155.wav,29731-661
00156.wav,170-328
00157.wav,53
00158.wav,465-360
00159.wav,39
00160.wav,9-01
00161.wav,12043-4233
00162.wav,62
00163.wav,926
00164.wav,162
00165.wav,463-02
00166.wav,5
00167.wav,532
00168.wav,66-
00169.wav,75794-23
00170.wav,10
00171.wav,36997-29430-285-32
00172.wav,2064
00173.wav,04
00174.wav,0
00175.wav,504
00176.wav,79-6675007158-7
00177.wav,196448-647
00178.wav,555691-026-0
00179.wav,204737
00180.wav,118
00181.wav,3495-711-5
00182.wav,31
00183.wav,65107586
00184.wav,81981-6
00185.wav,8647774-51
00186.wav,7248-82-261
00187.wav,82615
00188.wav,27-88-45
00189.wav,7822-5
00190.wav,74-1401
00191.wav,55
00192.wav,1762-74
00193.wav,80-5
00194.wav,03-3932857-0
00195.wav,6807-43
00196.wav,8707
00197.wav,70-7561-387-77
00198.wav,58619
00199.wav,1193330
00200.wav,89
00201.wav,46-66
00202.wav,0712
00203.wav,6
00204.wav,9975
00205.wav,751-7
00206.wav,2176707
00207.wav,713485-5282
00208.wav,42-30743
00209.wav,591
00210.wav,86
00211.wav,686-575265
00212.wav,4538-41
00213.wav,596
00214.wav,469
00215.wav,11-81-598
00216.wav,611-318
00217.wav,30--2-9649
00218.wav,280514788
00219.wav,95-633
00220.wav,175797-87
00221.wav,74-4
00222.wav,23-706
00223.wav,11-06-9
00224.wav,75
00225.wav,5
00226.wav,7549-09427
00227.wav,613
00228.wav,396
00229.wav,0
00230.wav,2
00231.wav,4
00232.wav,6
00233.wav,744-70404962-595-58
00234.wav,94-1
00235.wav,898
00236.wav,77
00237.wav,00
00238.wav,186
00239.wav,40
00240.wav,49
00241.wav,9
00242.wav,8
00243.wav,47854
00244.wav,5762766-52
00245.wav,6868333-2930-468
00246.wav,1965-1
00247.wav,54963-438
00248.wav,6848
00249.wav,02070220801-7
00250.wav,17-1549
00251.wav,9
00252.wav,3159017130180
00253.wav,580
00254.wav,681-17
00255.wav,0
00256.wav,2
00257.wav,089
00258.wav,0
00259.wav,74-1-6
00260.wav,52
00261.wav,64784
00262.wav,8
00263.wav,29
00264.wav,2602692-5
00265.wav,44
00266.wav,15-0
00267.wav,246-8676-153
00268.wav,23704738382
00269.wav,4
00270.wav,82
00271.wav,90
00272.wav,233-971
00273.wav,617-3736
00274.wav,386
00275.wav,63-9
00276.wav,98
00277.wav,78756
00278.wav,26-7
00279.wav,24
00280.wav,24
00281.wav,3169577
00282.wav,77
00283.wav,919-495
00284.wav,20-694792
00285.wav,498-5
00286.wav,1
00287.wav,379
00288.wav,05655
00289.wav,
00290.wav,4
00291.wav,4665
00292.wav,0
00293.wav,94-9
00294.wav,68
00295.wav,6-40
00296.wav,84
00297.wav,43-983
00298.wav,654
00299.wav,0
00300.wav,73952
00301.wav,091-
00302.wav,376-373158
00303.wav,03
00304.wav,688-34-9
00305.wav,938-645
00306.wav,06
00307.wav,64
00308.wav,46-60
00309.wav,2468
00310.wav,7322-2
00311.wav,79-3
00312.wav,04
00313.wav,087-426
00314.wav,85995-4535-1933
00315.wav,0663996
00316.wav,91
00317.wav,6
00318.wav,70
00319.wav,80
00320.wav,23
00321.wav,181-1973
00322.wav,4972
00323.wav,24
00324.wav,9
00325.wav,37581-247-1
00326.wav,243
00327.wav,892
00328.wav,085720
00329.wav,99-5
00330.wav,0901-82545
00331.wav,0
00332.wav,04
00333.wav,83
00334.wav,064
00335.wav,21-74
00336.wav,681
00337.wav,545
00338.wav,63-0368288
00339.wav,186-5692
00340.wav,59
00341.wav,84236
00342.wav,20131
00343.wav,436-5243547
00344.wav,259-094
00345.wav,92-0386-304
00346.wav,623
00347.wav,23-46
00348.wav,40
00349.wav,91
00350.wav,071
00351.wav,4030
00352.wav,535-99-395-685221
00353.wav,7
00354.wav,895-68923
00355.wav,0
00356.wav,40
00357.wav,904-509
00358.wav,303-28
00359.wav,00
00360.wav,811
00361.wav,80720-59
00362.wav,599-29
00363.wav,7
00364.wav,1550097303
00365.wav,00
00366.wav,681-860
00367.wav,739-26
00368.wav,09
00369.wav,88
00370.wav,5
00371.wav,29
00372.wav,11785947
00373.wav,2
00374.wav,2883
00375.wav,1861-8
00376.wav,356-2528
00377.wav,7059
00378.wav,98-736
00379.wav,689--0
00380.wav,90-54886
00381.wav,149-982
00382.wav,93368-2413
00383.wav,703
00384.wav,254-29825
00385.wav,40633
00386.wav,903-431
00387.wav,7770
00388.wav,0588-570-25219662-41
00389.wav,41-82
00390.wav,28
00391.wav,0406353-4
00392.wav,4151
00393.wav,8777365-486
00394.wav,854
00395.wav,6
00396.wav,368-560-1131
00397.wav,7
00398.wav,53859-80466-55-239
00399.wav,440
00400.wav,346-880841994
00401.wav,73
00402.wav,254
00403.wav,10111
00404.wav,9299
00405.wav,91405
00406.wav,21
00407.wav,900
00408.wav,1
00409.wav,2761
00410.wav,104
00411.wav,00
00412.wav,266-2634-067
00413.wav,98
00414.wav,88
00415.wav,834-11
00416.wav,6644
00417.wav,7284-3940368656
00418.wav,55
00419.wav,53-78-786
00420.wav,2456-97
00421.wav,9
00422.wav,090
00423.wav,435
00424.wav,12
00425.wav,1895-27529
00426.wav,1539548
00427.wav,47
00428.wav,20
00429.wav,86
00430.wav,44801756
00431.wav,80-7
00432.wav,9574
00433.wav,10
00434.wav,5561
00435.wav,0
00436.wav,55-05
00437.wav,9936
00438.wav,614-41
00439.wav,0
00440.wav,0
00441.wav,96-8
00442.wav,13
00443.wav,78208-14958331-1
00444.wav,26368
00445.wav,46-00-1
00446.wav,440310
00447.wav,41335-53-3
00448.wav,892-552-8307
00449.wav,0
00450.wav,958446
00451.wav,67
00452.wav,5382757
00453.wav,334809674
00454.wav,36-02
00455.wav,0946-91501
00456.wav,670-55344
00457.wav,373
00458.wav,965
00459.wav,909-81
00460.wav,4294829
00461.wav,98-93438010
00462.wav,59-235
00463.wav,1-7839-
00464.wav,5-11
00465.wav,0474-819
00466.wav,55444466
00467.wav,733
00468.wav,858-772-76-35
00469.wav,4
00470.wav,34
00471.wav,01-670
00472.wav,8715
00473.wav,54
00474.wav,8326-0
00475.wav,84
00476.wav,6781
00477.wav,51
00478.wav,6414
00479.wav,0
00480.wav,52-0
00481.wav,640
00482.wav,91
00483.wav,44-8751
00484.wav,3932
00485.wav,80
00486.wav,831-0480
00487.wav,000-4
00488.wav,0274-751
00489.wav,26
00490.wav,92-26-1
00491.wav,17-3
00492.wav,29248296044248
00493.wav,90
00494.wav,5
00495.wav,229-48
00496.wav,749
00497.wav,463
